,w,h,label
0,618.702270508,370.186157227,-1.0
1,336.842071533,234.82661438,0.0
2,175.362472534,182.433547974,1.0
3,258.202545166,259.014801025,1.0
4,232.499633789,106.360466003,0.0
5,139.855285645,141.050643921,1.0
6,248.75680542,109.342964172,0.0
7,109.041976929,142.337478638,1.0
8,129.629165649,129.892272949,1.0
9,335.66897583,204.803253174,0.0
10,278.366912842,74.4262313843,0.0
11,318.322387695,67.3606567383,0.0
12,273.0,73.0,0.0
13,273.0,72.0,0.0
14,274.297790527,71.1762390137,0.0
15,104.896125793,190.23387146,0.0
